id,Chemical Name,LogP (Partition coefficient),LogS (water solubility of the ingredient),Molecular weight,Density,Chemical formula,Structure,Synonyms,Functionalities
638,CINNAMOMUM CASSIA OIL,,,,,,,,
639,CINNAMYL ACETATE,,176.2mg/L(temperature not stated),176.21,1.057g/mLat 25°C,C11H12O2,CC(=O)OCC=CC1=CC=CC=C1,"['cinnamyl', '103-54-8', 'Cinnamyl acetate', 'cinnamylalcohol,acetate', 'gamma-phenylallylacetate', 'Cinnamyl alcohol, acetate', 'gamma-Phenylallyl acetate', '3-Phenyl-2-propenyl acetate', '3-phenyl-2-propen-1-olacetate', '3-Phenyl-2-propen-1-ol acetate', '3-Phenylprop-2-en-1-yl acetate', '(2E)-3-phenylprop-2-en-1-yl acetate', '(2Z)-3-phenylprop-2-en-1-yl acetate']","Other flavourings,Fragrance Component,fragrance component,perfuming,flavouring"
640,CINNAMYL ALCOHOL,,1.8 g/L (20 °C),134.18,1.044 g/mL at 25 °C (lit.),C9H10O,OCC=CC1=CC=CC=C1,"['3-PHENYLALLYLOL', 'Cinnamic alcohol', '3-PHENYLPROPENOL', 'Cinnamyl alcohol', '3-phenylpropan-1-ol', '3-PHENYLALLYL ALCOHOL', '3-phenylprop-2-en-1-ol', '3-PHENYL-2-PROPEN-1-OL', 'TRANS-CINNAMYL ALCOHOL', '3-Phenyl-2-propen-1-ol', '3-PHENYL-2-PROPENE-1-OL', '3-Phenyl-2-propene-1-ol', '(E)-3-phenylprop-2-en-1-ol', '(2Z)-3-phenylprop-2-en-1-ol', '(2E)-3-phenylprop-2-en-1-ol', 'TRANS-3-PHENYL-2-PROPEN-1-OL', '3-HYDROXY-1-PHENYL-1-PROPENE']","Fragrance,fragrance,perfume substances,additives, perfume,Other chemicals (function unknown),Fragrance Component,fragrance component,contains fragrance allergens,flavouring,perfuming,flavoring agent,fragrance ingredient,masking"
641,CINOXATE,,1.99e-3,250.29,1.102 g/cm3,C14H18O4,CCOCCOC(=O)C=CC1=CC=C(OC)C=C1,['cinoxate'],uv absorber
642,CITRAL,,PRACTICALLY INSOLUBLE,152.23,0.888 g/mL at 25 °C (lit.),C10H16O,CC(C)=CCCC(C)=CC=O,"['Citral', 'linmengquan', 'Citralcistrans', 'cis,trans-Citral', 'Citral synthetic', 'citral (cis+trans)', 'Citral Extra. nat.', '6-Octadienal,3,7-dimethyl-2', '3,7-Dimethyl-2,6-octadienal', '3,7-Dimethyll-2,6-octadienal', '2,6-Octadienal,3,7-dimethyl-', '3,7-dimethyl-octa-2,6-dienal', '2,6-Octadienal, 3,7-dimethyl-', '3,7-Dimethyl-1,2,6-octadienal', 'Citral, mixture of cis and trans']","Fragrance,---,fragrance,perfume substances,additives, perfume,Other chemicals (function unknown),antimicrobial,masking,Fragrance Component,fragrance component,contains fragrance allergens,fragrance allergen,flavouring,perfuming,flavoring agent,fragrance ingredient,fragrance additive"
643,CITRIC ACID,,"soluble in Water (1174g/L at 10°C, 1809g/L at 30°C, 3825g/L at 80°C).",192.12,1.67 g/cm3 at 20 °C,C6H8O7,OC(=O)CC(O)(CC(O)=O)C(O)=O,"['BETZ 0623', 'BETZ 6251', 'Citric acid', 'Citric acid anhydrous', 'Citric acid anhydride', 'BUFFER CONCENTRATE, PH 9.00', 'BUFFER CONCENTRATE, PH 8.00', 'BUFFER CONCENTRATE, PH 7.00', '2-hydroxypropane-1,2,3-tricarboxylate', '2-Hydroxy-1,2,3-propanetricarboxylic acid', 'BORIC ACID-POTASSIUM CHLORIDE-SODIUM HYDROXIDE BUFFER', 'Citric acid, anhydrous, USP Grade 1,2,3-Propanetricarboxylic acid, 2 hydroxy-citric acid, anhydrous, USP Grade']","pH adjuster                     ,water softener                  ,pH adjuster,water softener,soap scum and lime scale remover,ph adjuster,Pet Care,pH Adjuster,Buffering Agent,Preservative,Skin Conditioning Agent,---,Additive,Antioxidant,Builder,Fragrance,captures soil, captures soil, ph ajduster,complexing/ sequestering agent,ph stabilizer,ph neutralizer,citrus fruits like lemon and lime, antibacterial active, process aid,processing aid,pH regulation,buffer,Acidifiers,Anti-coagulants,preservative,Flavoring Agents; Protectors and Developers,Miscellaneous,Chemicals added that influence or buffer pH,antimicrobial,biocide,Synergists (used in combination with antioxidants),antimicrobial, chelating agent,buffering / chelating,pH adjustment,Conditioner,acid,builder, water softener,pH balance,Complexing agent,Chelating agent,Buffering agent,pH Buffer,pH modifier,Ennzyme stabilizer,fragrance component,builder,cleaning agent,buffering,chelating,masking,chelating agent,fragrance ingredient,surfactant,Iron Control,topical treatment"
644,CITRONELLAL,,Slightly miscible with water and ethanol.,154.25,0.857g/mLat 25°C(lit.),C10H18O,CC(CCC=C(C)C)CC=O,"['RHODINAL', 'd-rhodinal', 'Citronellal', 'Levo-citronellal', '2,3-Dihydrocitral', 'Natural Citronellal', '3,7-dimethyl-6-octena', '3,7-Dimethyl-6-octenal', '3,7-dimethyloct-6-enal', '3,7-DIMETHYL-6-OCTEN-1-AL', '(3R)-3,7-dimethyloct-6-enal', '(4-chlorophenyl)(phenyl)methanone']","additives,fragrance,Fragrance Component,fragrance component,fragrances,masking,fragrance ingredient,deodorant,perfuming,flavouring"
645,CITRONELLOL,,2.15e-3,156.27,0.857g/mLat 25°C(lit.),C10H20O,CC(CCO)CCC=C(C)C,"['FEMA 2309', 'FEMA 2307', 'CITRONELLOL, DL-B-', 'CITRONELLOL AJ', 'CITRONELLOL 80', 'CITRONELLOL 96']","Fragrance,---,fragrance,perfume substances,additives, perfume,antimicrobial antiseptic,masking,Fragrance ingredient,Fragrance component,Fragrance Component,fragrance component,contains fragrance allergens,fragrances,fragrance allergen,perfuming,fragrance ingredient,fragrance additive,flavouring"
646,CITRONELLYL ACETATE,,PRACTICALLY INSOLUBLE,198.3,0.891g/mLat 25°C(lit.),C12H22O2,CC(CCOC(C)=O)CCC=C(C)C,"['150-84-5', 'FEMA 2311', 'CITRONELLYL ACETATE', 'Citronellyl acetate', 'DL-CITRONELLYL ACETATE', '(Â±)-Citronellyl acetate', 'CITRONELLYL ACETATE, DL-', '.beta.-Citronellyl acetate', 'Acetic acid ester leMongrass', '3,7-Dimethyl-6-octen-1-ylacetat', '8-Acetoxy-2,6-dimethyl-2-octene', '3,7-Dimethyl-6-octen-1-yl acetate', '3,7-Dimethyloct-6-en-1-yl acetate', 'Acetic acid 3,7-dimetyl-6-octen-1-yl', '6-octen-1-ol, 3,7-dimethyl-, acetate', 'AcÃ©tate de 3,7-dimÃ©thyl-6-octÃ¨n-1-yle', '(3S)-3,7-dimethyloct-6-en-1-yl acetate', '(3R)-3,7-dimethyloct-6-en-1-yl acetate', 'Acetic acid 3,7-dimethyl-6-octenyl ester']","fragrance,Fragrance Component,fragrance component,fragrances,masking,flavouring"
647,CITRULLINE,−1.373,200 g/L (20 °C),175.19,1.2919 (rough estimate),C6H13N3O3,N[C@@H](CCCNC(N)=O)C(O)=O,"['H-Cit-OH', 'Citrulline', 'L-CTRULLINE', 'L-Citrullin', 'L-Citrullne', 'L-Citrulline', 'L(+)Citrulline', 'L(+)-Citrulline', 'L-(+)-Citrulline', 'Ibuprofen Impurity 78', 'L-Citrulline (1.12117)', 'Arginine EP Impurity B', 'n5-(aminocarbonyl)-l-ornithin', 'N5-(aminocarbonyl)-L-Ornithine', 'L-(+)-2-Amino-5-ureidovaleric acid', 'ALPHA-AMINO-DELTA-UREIDO-N-VALERIC ACID']","Skin Conditioning Agent,skin conditioning,skin-conditioning agent - miscellaneous"
648,CLIMBAZOLE,,58mg/L at 25°C,292.76,1.17Â±0.1 g/cm3(Predicted),C15H17ClN2O2,CC(C)(C)C(=O)C(OC1=CC=C(Cl)C=C1)N1C=CN=C1,"['MEB-6401', 'Diadimefon', 'Climbazole', 'Crinipan AD', 'BAY MEB-6401', 'Climbazole 0.1', '1-[(4-Chlorophenoxy)(tert-butylcarbonyl)Methyl]iMidazole', '1-(4-chlorophenoxy)-1-(imidazol-1-yl)-3,3-dimethylbutanone', '1-(4-clorophenoxy)-3,3-dimethyl-1-(imidazole-1-yl)-2-butanone', '1-(4-chlorophenoxy)-1-(1H-imidazol-1-yl)-3,3-dimethylbutan-2-one', '1-(4-Chloro-phenoxy)-1-(2,5-dihydro-imidazole-1-yl)-3,3-dimethyl-butan-2-one']","Antidandruff Agent,anti-dandruff agent,antidandruff,antimicrobial,preservative,cosmetic biocide"
649,CLOFLUCARBAN,,3.38e-6,349.13,1.53,C14H9Cl2F3N2O,FC(F)(F)C1=C(Cl)C=CC(NC(=O)NC2=CC=C(Cl)C=C2)=C1,"halocarban,cloflucarban","antimicrobial,deodorant"
650,CLOTRIMAZOLE,,4.66e-7,344.84,1.20,C22H17ClN2,ClC1=C(C=CC=C1)C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1,['Clotrimazole'],"antidandruff,antimicrobial"
651,COBALT ACETYLMETHIONATE,,1.50,439.41336,1.20,C14H24CoN2O6S2,[Co++].CSCCC(NC(C)=O)C([O-])=O.CSCCC(NC(C)=O)C([O-])=O,"['COBALT ACETYLMETHIONATE', 'Cobalt, bisN-(acetyl-.kappa.O)-L-methioninato-.kappa.O-']",antiperspirant
652,COCAMIDOPROPYL BETAINE,,23.676g/L,342.51662,Not found,C19H38N2O3, ,"['CAPB', 'NAXAINE C', 'NAXAINE CO', 'RALUFON 414', 'RALUFON  414', 'Lonzaine(R) C', 'Lonzaine(R) CO', 'Cocoamidopropylbetaine', 'Cocamidopropyl betaine', 'Lauroamide propyl betaine', 'Cocoanut amide propyl betaine', 'Cocoamidopropyl dimethyl Betaine', '1-PropanaMiniuM, 3-aMino-N-(carboxyMethyl)-N,N-diMethyl', 'N-(3-Cocoamidopropyl)-N,N-dimethyl-N-carboxymethyl ammonium betaine', 'Propanaminium, 3-amino-N-(carboxymethyl)-N,N-dimethyl-, N-coco acyl deriv', '1-Propanaminium, 3-amino-N-(carboxymethyl)-N,N-dimethyl-, N-coco acyl derivs., hydroxides, inner salts']","Pet care,cleaning agent,surfactant,amphoteric surfactant,surfactant / cleansing / foam boosting,Surfactant,Softner,surfactant (cleaning agent),antistatic,cleansing,foam boosting,hair conditioning,viscosity controlling"
653,COCAMIDOPROPYL PG-DIMONIUM CHLORIDE PHOSPHATE,,Not found, ,Not found, , ,"cocoamidopropyl pg-dimonium chloride,cocoamidopropyl pg-dimonium chloride phosphate,Linoleamidopropyl PG-Dimonium Chloride Phosphate,Cocamidopropyl PG-Dimonium Chloride Phosphate,cocamidopropyl pg-dimonium chloride phosphate,linoleamidopropyl pg-dimonium chloride phosphate,nan,COCAMIDOPROPYL PG-DIMONIUM CHLORIDE PHOSPHATE,LINOLEAMIDOPROPYL PG-DIMONIUM CHLORIDE PHOSPHATE","cleaning agent                  ,cleaning agent,Antistatic Agent,Hair Conditioning Agent,antistatic,hair conditioning,antistatic agent,hair conditioning agent"
654,COCAMINE,,84 mg l-1 (e),,,C38H46N2O8,,"['A CO', 'COCOAMIN', 'Cocamine', 'Armeen C', 'Cocoamine', 'Coco amine', 'Adogen 160', 'Alamine 21', 'Adogen 160D', 'Alamine 21D', 'Coco amines', 'Coconut Amine', 'Coconut  amines', 'Coco alkyl amines', 'Amines, coco alkyl', 'Cocoanut oil amine']",
655,COCOYL HYDROXYETHYL IMIDAZOLINE,,,,,,,,
656,COCOYL SARCOSINE,,Not found, ,Not found, , ,"nan,Glycine_ N-methyl-_ N-coco acyl derivs. (CA INDEX NAME) (Pending),Glycine_ N-methyl-_ N-coco acyl derivs,COCOYL SARCOSINE,cocoyl sarcosine","cleansing,hair conditioning,surfactant,hair conditioning agent,surfactant - cleansing agent"
657,COENZYME A,,0.726,767.53,1.96Â±0.1 g/cm3(Predicted),C21H36N7O16P3S,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCS,"['COA', 'CoASH', 'COA-SH', 'Coenzyme a', 'CONENZYME A', 'COENZYME A HYDRATE', 'COENZYM A FREE ACID', 'Coenzyme a, free acid', 'COENZYME A FREE ACID FROM YEAST', '[(2R,3R,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-2-[[hydroxy-[hydroxy-[3-hydroxy-2,2-dimethyl-3-[2-(2-sulfanylethylcarbamoyl)ethylcarbamoyl]propoxy]phosphoryl]oxy-phosphoryl]oxymethyl]oxolan-3-yl]oxyphosphonic acid', '[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-3-(phosphonooxy)tetrahydrofuran-2-yl]methyl 3-hydroxy-2,2-dimethyl-4-oxo-4-({3-oxo-3-[(2-sulfanylethyl)amino]propyl}amino)butyl dihydrogen diphosphate (non-preferred name)', '[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-3-(phosphonooxy)tetrahydrofuran-2-yl]methyl (3S)-3-hydroxy-2,2-dimethyl-4-oxo-4-({3-oxo-3-[(2-sulfanylethyl)amino]propyl}amino)butyl dihydrogen diphosphate (non-preferred name)', '[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-3-(phosphonooxy)tetrahydrofuran-2-yl]methyl (3R)-3-hydroxy-2,2-dimethyl-4-oxo-4-({3-oxo-3-[(2-sulfanylethyl)amino]propyl}amino)butyl dihydrogen diphosphate (non-preferred name)']","skin conditioning,skin-conditioning agent - miscellaneous,emollient,solvent"
658,COFFEA ARABICA EXTRACT,,,,,,,"['COFFEE EKISU', 'COFFEEPOWDER', 'Coffea arabica extract', 'COFFEE EXTRACT NATURAL', 'Coffee, Coffea arabica, ext.', 'COFFEA ARABICA (COFFEE) EXTRACT', 'COFFEA ARABICA (COFFEE) SEED EXTRACT']",
659,COFFEA ROBUSTA EXTRACT,,,,,,,,
660,COLLAGEN,,"H2O: 5Â mg/mL, hazy, colorless and viscous", ,Not found, , ,"['4', 'Type', 'CAPS', 'TYPEâ\x85\xa0', 'Typeâ\x85\xa0', 'COLLGEN', 'Collagen', 'COLLAGEN', 'collagens', 'Kollagene', 'SIGMAULTRA', 'rh-Collagen', 'EHS-collagen', 'Collagenpowder']","Hair Conditioning Agent,Skin Conditioning Agent,hair conditioning,moisturising,skin conditioning,hair conditioning agent,skin-conditioning agent - miscellaneous"
661,COLLOIDAL SULFUR,,,32.06,Not found,S,[S],"Sulfur,Sulfur Compounds,sulfur, solid,Sulphur, S,sulfur,sulphur,sulphur (see supplemental for ingredients),total sulfur,sulfur (max 4.0),sulfur_niosh 10-hr twa 0.5 ppm as so*2,sulfur. %:<0.05-0.35,sulfur (when combined with nitrogen & phosphorous= <1% prodas part of additive package),sulfur(tlv based on so*2),polybutenyl succinic anhydride nitrogen functionalizeddispersant.,substituted alkylphosphite,sulfur (used as filler),flour of sulfur,sulphur cas#7704-34-9 (use tlv as so*2),sulfur_cas#7704-34-9,sulfur_ molten,sulfur. % (wt): <0.01-0.06.,sulfur (max contents in df-1 per msds),sulfur_ (s) limits given as sulfur dioxide,sulfur. osha pel:15 mg/m3 tdust_ 5 fume (mfr).,sulfur_ (s) limits given as sulfur dioxide.,sulfur (sara iii). pel/tlv as so*2,sulfur_(s),sulfur_ (s),sulfur (sara iii). %:.001-.35.,sulfur (as sulfur dioxide)  (sara iii),sulfur (as sulfur dioxide) (sara iii),sulfur (pel/tlv as sulfur dioxide),sulfur (as sulfur dioxide)   (sara iii),sulphur (mfr cas no:7704-34-0). pel/tlv as sulfur dioxide.%:0.02-0.18,sulfur. % wt: 0.02-0.18. pel/tlv as sulfur dioxide,sulfur (per msds maximum contents of sulfur in df-1),sulfur (sara iii). % (wt):0.001-0.05,sulfur (sara iii). pel/tlv as sulfur dioxide.,sulfur_ this is a by product of this battery.,sulfur (sara iii). pel/tlv as so*2 (mfr).,sulfur (sara iii). percentage (wt):.001-.30,sulfur_ (sulphur) (pel/tlv as sulfur dioxide),sulfur_ (sulphur) (sara iii),sulfur_ (free sulfur),sulfur. pel & tlv as so*2,sulfur_ <.01-.06,sulfur.mp:308f_153c.,sulfurpercent: 0.001-0.30%,sulfur (as molybdenum disulfide),sulfur. pel: 15 mg/m3 tdust_ 5 mg/m3 rdust.,sulfur. pel and tlv as so*2.,sulfur- limits as sulfur dioxide.,sulfur. % (wt):0.56-0.69,sulfur. % (wt):0.44-.54,sulfur_ (sulfur oil),sulfur (sara iii) pel/tlv as sulfer dioxide,sulfur. %:on original basis: 0.43%_ on evaporated residue:0.32%.,sulfur_ (s). %:0.001-0.35.,sulfur (sara iii),sulfur (sara iii) (pel/tlv as sulfur dioxide),sulfur. %:0.02-0.05,sulfur. % wt: 0.02-0.18. pel & tlv as so*2,sulfur (exposure limits listed for so*2.),sulfur. %:<0.01-0.06,sulfur. percentage (wt):<.050-.35,sulfur. percentage (wt):0.02-0.35,sulfur. pel/tlv as sulfur dioxide. %: 0.05 max.,sulfur. pel/tlv as sulfur dioxide.,sulfur_ (sulphur),sulfur. pel/tlv as sulfur dioxide,sulfur  (sara iii),sulfur (5ppm as so2),sulfur_ <0.50-0.35%,sulfur_ <0.01-0.06%.,sulfur. %(wt): 0.001 - 0.35.,sulfur. %(wt): 0.001-0.35 max.,sulfur:roll-broken lumps,sublimed powder (flowers)_ precipitated powder (flours),sulfur. %:100 ppm.,sulfur (sara 302),sulfur_ 15.000-40.000%.,total sulfur <500ppm,sulfur. percentage (wt):0.08-0.8,sulfur_ (sublimed sulfur),sulfur (s) %:0.01-0.06,sulfur % wt: 0.050-0.35,sulfur. %: <500 ppm.,sulfur_ (flowers of sulphur),sulfur (per msds not haz in its present form),sulfur (sara 302) %:0.005/0.05,sulfur (s). %:0.001-0.35.,sulfur_ (sulfur compounds),sulfur (s),sulfur (mfr's invalid cas #704-34-9),sulfur (mfr's cas #704-34-9),sulfur (mfr cas # 704-34-9),sulfur (mfr cas #: 704-34-9),sulfur_ (mfr cas # 704-34-9),sulfur_ (active sulfur). %:<200 ppm (wt).,sulfur (s). mfr's invalid cas no: 7440-34-9.,sulfur: roll-broken lumps_ sublimed powder (flowers)_ precipitated powder (flours),precipitated sulfur,sulfur. (less than or equal to 10% by weight),sulfur_ (s) (sara iii),sulfur (sara 302).(mfr's invalid cas#: 7404-39-9),sulfur (sara 302). %(wt): 0.02-0.18.,sulfur (sara 302). (mfr cas#: 7404-39-9),sulfur_ (total sulfur),sulfur. % (wt): </= 0.40,nan,SULFUR,Sulphur,S,sulphite,colloidal sulfur,elemental sulfur,Sulfur, Elemental,Sulfur Elemental","insecticide,fungicide,anti-dandruff agent,Fungicide, Nematicides, and Fumigant,binder,unknown,contaminant,chemical component,vulcanizing agent,stainless steel component,antidandruff / antistatic / antiseborrhoeic,antimicrobial,antiacne agent,antidandruff agent,hair conditioning agent,skin-conditioning agent -miscellaneous,antidandruff,antiseborrhoeic,antistatic,hair conditioning,skin conditioning,impurity,residual,vulcanizing coagent,machinability enhancer"
662,COPPER ACETYLMETHIONATE,,1.50,444.02616,1.20,C14H24CuN2O6S2,[Cu++].CSCC[C@H](NC(C)=O)C([O-])=O.CSCC[C@H](NC(C)=O)C([O-])=O.CSCC[C@H](NC(C)=O)C([O-])=O.CSCC[C@H](NC(C)=O)C([O-])=O,"['COPPER ACETYLMETHIONATE', 'Copper, bisN-(acetyl-.kappa.O)-L-methioninato-.kappa.O-']","moisturising,skin conditioning"
663,COPPER ASPARTATE,,,324.71,,C8H9CuN2O8-,,"['copper,2-', 'COPPER ASPARTATE', 'copper,2-aminobutanedioate,hydron', 'Copper Aspartate, 6 Percent, 40-80 Mesh, Powder']",
664,COPPER GLUCONATE,,slightly soluble,453.84,1.777[at 20°C],C12H22CuO14, ,"['CUPRIC GLUCONATE', 'Copper gluconate', 'COPPER GLUCONATE', 'COPPER(II) GLUCONATE', 'Copper(II) gluconate', 'copper di-D-gluconate', 'COPPER(+2)D-GLUCONATE', 'bis(d-gluconato)-coppe', 'COPPER(II) D-GLUCONATE', 'Chelates of copper gluconate', 'GLUCONIC ACID COPPER(II) SALT', 'D-Gluconic acid, copper(II)salt', 'D-Gluconic acid copper(II) salt', 'D-GLUCONIC ACID, COPPER(II) SALT', 'bis[[(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanoyl]oxy]copper']",
665,COPPER SULFATE,,203 g/L (20 °C),159.61,3.603g/mLat 25°C(lit.),CuO4S,[Cu++].[O-]S([O-])(=O)=O,"['COPPERSULFATE', 'Cupric sulfate', 'Copper sulfate', 'Copper sulphate', 'Copper(II)sulfate', 'Copper(II) sulfate', 'copper(2+) sulfate', 'cupric sulfate anhydrous', 'Sulfuric acid, copper salt', 'COPPER SULPHATE (FEED GRADE)', 'Copper (II) sulfate anhydrous', 'Copper(II) sulfate,Cupric sulfate', 'Coppersulfateanhydrousgreenpowder', 'Copper(II) sulfate anhydrous, extra pure, Ph Eur, USP, BP']","fungicide,Pigments agents,skin conditioning,not reported,antimicrobial"
666,COPPER USNATE,,Not found,405.849,Not found,C18H14CuO7,[Cu++].CC(=O)C1C(=O)C=C2OC3=C(C(C)=O)C([O-])=C(C)C([O-])=C3C2(C)C1=O,,
667,COUMARIN,139,1.7 g/L (20 °C),146.14,0.935,C9H6O2,Structure,"['Coumarin', 'COUMARINE', 'AKOS 212-75', 'Chromen-2-one', '1,2-BENZOPYRONE', '1,2-Benzopyrone', '2H-chromen-2-one', 'TONKA BEAN CAMPHOR', '1-Benzopyran-2-one', '5,6-BENZO-2-PYRONE', 'TIMTEC-BB SBB000094', '2H-1-BENZOPYAN-2-ONE', '2H-1-Benzopyran-2-one', '2H-1-BENZOPYRAN-2-ONE', 'O-Oxy-Cinnamic Lactone ', 'O-HYDROXYCINNAMIC ACID LACTONE']","Fragrance,---,fragrance,additives, perfume,masking,Fragrance component,Fragrance ingredient,Fragrance Component,fragrance component,contains fragrance allergens,perfuming,fragrance ingredient"
668,CREATININE,-176,SOLUBLE,113.12,1.2526 (rough estimate),C4H7N3O,CN1CC(=O)NC1=N,"['CREATININ', 'KREATININ', 'Creatinine', 'CREATININE', '2-IMINO-N-METHYLHYDANTOIN', 'METHYLGUANIDINEACETIC ACID', 'Diisopropylamine dichloroacetate', '2-Amino-1-methylimidazolidin-4-one', '2-Imino-1-methylimidazolidin-4-one', '2-IMINO-1-METHYLIMIDAZOLIDIN-4-ONE', '2-Amino-1,5-dihydro-1-methyl-4H-imidazol-4-one', '2-amino-1-methyl-1,5-dihydro-4H-imidazol-4-one', '2-amino-3-methyl-5-oxo-4,5-dihydro-1H-imidazol-3-ium']","---,skin conditioning"
669,CROSCARMELLOSE,,Not found, ,Bulk density (g/cc) 0.48,Null, ,"['AcDiSol', 'Vivasol', 'Explocel', 'Kiccolate', 'NymcelZSX', 'Primellose', ' Pharmacel XL', 'PRIMELLOSE(R)', 'Croscarmellose', 'Unii-m28ol1hh48', 'Kiccolate ND 2HS', 'Kiccolate ND 200', 'Sodiumcroscarmellose', 'Crosscarmelosesodium', 'Sodium Croscarmellose', 'Croscarmellose sodium', 'CROSCARMELLOSE SODIUM', 'MODIFIED CELLULOSE GUM', 'Croscarmellose natrium', 'Cross-linked carboxymethylcellulose sodium']",Bulking agent
670,CROTONIC ACID,,soluble,86.09,1.027g/mLat 25°C(lit.),C4H6O2,CC=CC(O)=O,"['crotonic', '2-ButensÎ±ure', 'crotonic acid', 'a-butenoicacid', 'Î±-Crotonic acid', '3-MethylacrylsÎ±ure', '3-methyl-acrylicaci', '3-Methylacrylic acid', 'Î²-Methylacrylic acid', 'Acrylic acid, 3-methyl-', 'Crotonic Acid Anhydride']","binder,fragrance component,masking,stabilising,flavouring"
671,CUPRIC ACETATE,,Soluble in water and alcohol. Slightly soluble in ether and glycerol.,181.63,1.92 at 21.9°C,C2H4O2.1/2Cu,[Cu++].CC([O-])=O.CC([O-])=O,"['AI-61-A', 'Cupric acetate', 'diacetoxycopper', 'acetatedecuivre', 'Copper(â\x85¡) acetate', 'aceticacid,cupricsalt', 'aceticacid,copper(2+)', 'acetatedecuivre(french)', 'Cupric acetate,anhydrous', 'Aceticacid,copper(2+)salt', 'aceticacid,copper(2++)salt']",skin conditioning
672,CUPRIC SULFATE,,203 g/L (20 °C),159.61,3.603g/mLat 25°C(lit.),CuO4S,O.O.O.O.O.[Cu++].[O-]S([O-])(=O)=O,"['COPPERSULFATE', 'Cupric sulfate', 'Copper sulfate', 'Copper sulphate', 'Copper(II)sulfate', 'Copper(II) sulfate', 'copper(2+) sulfate', 'cupric sulfate anhydrous', 'Sulfuric acid, copper salt', 'COPPER SULPHATE (FEED GRADE)', 'Copper (II) sulfate anhydrous', 'Copper(II) sulfate,Cupric sulfate', 'Coppersulfateanhydrousgreenpowder', 'Copper(II) sulfate anhydrous, extra pure, Ph Eur, USP, BP']","water mineralizer               ,water mineralizer,biocide"
673,CURRY RED,,,,,,,,
674,CYANOCOBALAMIN,,Not found,1355.388,Not found,C63H88CoN14O14P,[Co+3].[C-]#N.[H]C1(O)[C@H](OP([O-])(=O)O[C@H](C)CNC(=O)CC[C@]2(C)[C@@H](CC(N)=O)[C@@]3([H])[N-]\C2=C(C)/C2=N/C(=C\C4=N\C(=C(C)/C5=N[C@]3(C)[C@@](C)(CC(N)=O)[C@@H]5CCC(N)=O)\[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)/C(C)(C)[C@@H]2CCC(N)=O)[C@@H](CO)O[C@@H]1N1C=NC2=C1C=C(C)C(C)=C2,"['Cyanocobalamin', '58Co Vitamin B12', 'Vitamin B12-58Co']","Skin Conditioning Agent,skin conditioning,skin-conditioning agent - miscellaneous"
675,CYCLAMEN ALDEHYDE,,66mg/L at 20°C,190.28,0.95g/mLat 25°C(lit.),C13 H18 O,CC(CC1=CC=C(C=C1)C(C)C)C=O,"[' ', 'FEMA 2743', ' Aldehyde b', 'CYCLAMEN ALDEHYDE', ' Cyclamen aldehyde', '3-p-cumenyl-2-methylpropionaldehyde', '3-(4-ISOPROPYLPHENYL)ISOBUTYRALDEHYDE', ' 3-(4-Isopropylphenyl)Isobutyraldehyde', 'P-ISOPROPYL-A-METHYLHYDROCINNAMALDEHYDE', '2-methyl-3-[4-(propan-2-yl)phenyl]propanal', 'A-METHYL-P-ISOPROPYLHYDROCINNAMIC ALDEHYDE', '4-ISOPROPYL-ALPHA-METHYLHYDROCINNAMALDEHYDE', ' Alpha-methyl-p-isopropylphenylpropanaldehyde', ' Alpha-methyl-p-isopropyl hydrocinnamaldehyde', '(R,S)-p-Isopropyl-Î±-methylhydro-cinnamaldehyde', '2-Methyl-3-(para-isopropyl phenyl)propionaldehyde']","odor counteractant,fragrance,Fragrance,Fragrance Component,fragrance component,fragrances,masking,fragrance ingredient"
676,CYCLOCARBOXYPROPYLOLEIC ACID,,Not found, ,Not found, , ,"dicarboxylic organic acid,dicarboxylic organic acid _acrylinoleic acid *93-1*,dicarboxylic organic acid _acrylinoleic acid *92-4*,dicarboxylic organic acid _acrylinoleic acid *96-2*,dicarboxylic organic acid _acrylinoleic acid  *98-2*,dicarboxylic fatty acid (potassium salt),acrylinoleic acid_ (westvaco diacid),2-Cyclohexene-1-octanoic acid_ 5(or6)-carboxy-4-hexyl-,cyclocarboxypropyloleic acid,5(or 6)-carboxy-4-hexylcyclohex-2-ene-1-octanoic acid","acid,skin conditioning,viscosity controlling"
677,CYCLODEXTRIN,,Not found, ,Not found, , ,"['Celdex', 'Ringdex P', 'Celdex SH 50', 'Celdex SH 20', 'Celdex CH 20', 'Celdex CH 30', 'Celdex SH 40', 'Cycloamylose', 'Rhodocap L 20']","absorbent,chelating,chelating agent,deodorizer"
