id,Chemical Name,LogP (Partition coefficient),LogS (water solubility of the ingredient),Molecular weight,Density,Chemical formula,Structure,Synonyms,Functionalities
322,Biotin,,,244.314,,C10H16N2O3S,,"D-BiotinBiotinVitamin B7Hexahydro-2-oxo-1H-thieno[3,4-d]imidazole-4-pentanoic acid,Vitamin H (D-Biotin)D-Biotin pureVH5-(2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl)pentanoic acid,5-[(3aS,4S,6aR)-2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl]pentanoic acid,5-[(3aR,4S,6aS)-2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl]pentanoic acid,5-[(3aS,4S,6aR)-2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl]pentanoate,5-[(3aS,4S,6aS)-2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl]pentanoate,5-[(3aR,4S,6aS)-2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl]pentanoate,5-[(3aR,4S,6aR)-2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl]pentanoate,VHBIOS HBiotin(D-)",
323,Bisabolol,,,222.37,0.922g/cm3,C15H26O,,"6-Methyl-2-(4-methyl-3-cyclohexen-1-yl)-5-hepten-2-olalpha,4-Dimethyl-alpha-(4-methyl-3-pentenyl)-3-cyclohexene-1-methanol,Bisabolol(2R)-6-methyl-2-[(1R)-4-methylcyclohex-3-en-1-yl]hept-5-en-2-ol(2R)-6-methyl-2-[(1S)-4-methylcyclohex-3-en-1-yl]hept-5-en-2-ol(2S)-6-methyl-2-(4-methylcyclohex-3-en-1-yl)hept-5-en-2-ol",
324,Bisabolol,,,222.37,0.922g/cm3,C15H26O,,"6-Methyl-2-(4-methyl-3-cyclohexen-1-yl)-5-hepten-2-olalpha,4-Dimethyl-alpha-(4-methyl-3-pentenyl)-3-cyclohexene-1-methanol,Bisabolol(2R)-6-methyl-2-[(1R)-4-methylcyclohex-3-en-1-yl]hept-5-en-2-ol(2R)-6-methyl-2-[(1S)-4-methylcyclohex-3-en-1-yl]hept-5-en-2-ol(2S)-6-methyl-2-(4-methylcyclohex-3-en-1-yl)hept-5-en-2-ol",
325,Bisabolol,,,222.37,0.922g/cm3,C15H26O,,"6-Methyl-2-(4-methyl-3-cyclohexen-1-yl)-5-hepten-2-olalpha,4-Dimethyl-alpha-(4-methyl-3-pentenyl)-3-cyclohexene-1-methanol,Bisabolol(2R)-6-methyl-2-[(1R)-4-methylcyclohex-3-en-1-yl]hept-5-en-2-ol(2R)-6-methyl-2-[(1S)-4-methylcyclohex-3-en-1-yl]hept-5-en-2-ol(2S)-6-methyl-2-(4-methylcyclohex-3-en-1-yl)hept-5-en-2-ol",
326,Bisabolol,,,222.37,0.922g/cm3,C15H26O,,"6-Methyl-2-(4-methyl-3-cyclohexen-1-yl)-5-hepten-2-olalpha,4-Dimethyl-alpha-(4-methyl-3-pentenyl)-3-cyclohexene-1-methanol,Bisabolol(2R)-6-methyl-2-[(1R)-4-methylcyclohex-3-en-1-yl]hept-5-en-2-ol(2R)-6-methyl-2-[(1S)-4-methylcyclohex-3-en-1-yl]hept-5-en-2-ol(2S)-6-methyl-2-(4-methylcyclohex-3-en-1-yl)hept-5-en-2-ol",
327,Bisabolol,,,222.37,0.922g/cm3,C15H26O,,"6-Methyl-2-(4-methyl-3-cyclohexen-1-yl)-5-hepten-2-olalpha,4-Dimethyl-alpha-(4-methyl-3-pentenyl)-3-cyclohexene-1-methanol,Bisabolol(2R)-6-methyl-2-[(1R)-4-methylcyclohex-3-en-1-yl]hept-5-en-2-ol(2R)-6-methyl-2-[(1S)-4-methylcyclohex-3-en-1-yl]hept-5-en-2-ol(2S)-6-methyl-2-(4-methylcyclohex-3-en-1-yl)hept-5-en-2-ol",
328,"1,3-Bis-(2,4-Diaminophenoxy)Propane",,,,,,,,
329,Bismuth Citrate,,,398.08,,C6H5BiO7,,"Bismuth CitrateWismuth-III-citratbismuth(3+) 2-hydroxypropane-1,2,3-tricarboxylate,bismuth(+3) trihydride cation citrate",
330,Bismuth Oxychloride,,,260.43,,BiClO,,77163Bi-FlairBiluna Bismuth OxyBlanc de PerleChloride CrystalsLiquid Mirror [TA]Pigment White 14Basic bismuth chlorideBismuth(III) chloride oxideBismuth subchloridetrichlorobismuthaneoxobismuthanyl hydrochloridechloro(oxo)bismuthane,
331,Bisphenylhexamethicone,,,,,,,,
332,Bixa Orellana Extract,,,,,,,,
333,Boric Acid,,49.5 g/L (20???),61.833,1.437g/cm3,H3BO3,,Boric AcidBoricacidhighpurityBoricacidwhitextlBoron acidTBE Buffer,
334,Bornelone ,,,,,,,,
335,Boron Nitride,,,24.82,,BN,,BoronnitrideoffwhitepowderBoron Nitride Rodnitriloborane,
336,Brilliant Black 1,,,867.68,,C28H17N5O14S4Na4,,"C.I. 28440C.I. Food Black 1, tetrasodium salt,C.I. Food Black 1Brilliant black 1Black PNtetrasodium (6Z)-4-(acetylamino)-5-oxo-6-({7-sulfonato-4-[(E)-(4-sulfonatophenyl)diazenyl]naphthalen-1-yl}hydrazono)-5,6-dihydronaphthalene-1,7-disulfonate,tetrasodium (6E)-4-(acetylamino)-5-oxo-6-({7-sulfonato-4-[(E)-(4-sulfonatophenyl)diazenyl]naphthalen-1-yl}hydrazono)-5,6-dihydronaphthalene-1,7-disulfonate,Food Black 1",
337,Bromochlorophene,,,,,,,,
338,Bromocinnamal,,,,,,,,
339,Bromocresol Green,,slightly soluble,698.01,0.79,C21H14Br4O5S,,"3,3,5,5-Tetrabromo-m-cresolsulfonephthalein,BCG, Mycobacterium bovis,Bromocresol green solutionbromocresol green for microscopy and complexometryBromocresol Green Sultone Formbromcresol green crystallinebromcresol green sprayBromcresol Greentetrabromo-m-cresolsulphonephthaleinBCG",
340,"5-Bromo-5-Nitro-1,3-Dioxane",,,212,1.83g/cm3,C4H6BrNO4,,"5-bromo-5-nitro-1,3-dioxolane,BNDBRONIDOXBRONIDOX L3-Dioxane,5-bromo-5-nitro-1,5-Brom-5-nitro-1,3-dioxan,5-bromo-5-nitro-3-dioxane5-bromo-5-nitro-m-dioxan5-Bromo-5-Nitro-1,3-Dioxame,",
341,Bromothymol Blue,,slightly soluble,624.38,1.542g/cm3,C27H28Br2O5S,,"3,3-Dibromothymolsulfonephthalein,Bromthymol BlueBTBalpha,alpha-bis(5-bromo-4-hydroxy-6-methyl-m-cumenyl)toluene-2,alpha-sultone,dibromothymolsulphonephthalein3,3-Dibromophenolsulfonephthalein,2-bromo-4-[3-(3-bromo-4-hydroxy-2-isopropyl-5-methyl-phenyl)-1,1-dioxo-benzo[c]oxathiol-3-yl]-3-isopropyl-6-methyl-phenol,",
342,Bumetrizole,,,315.8,1.26g/cm3,C17H18ClN3O,,UV-3262-(5-Chloro-2H-benzotriazol-2-yl)-6-tert-butyl-p-cresol(OH=1)Ultraviolet absorbent UV-326UV 326Bumetrizole,
343,Butadiene Acrylonitrile Copolymer,,,,,,,,
344,Butane,,,58.1222,0.614g/cm3,C4H10,,ButanButane [USAN]ButanenButani,
345,Butoxydiglycol,,soluble,162.23,,C8H18O3,,"2-(2-n-Butoxyethoxy)ethanolo-butyl diethylene glycol3,6-Dioxa-1-decanol,3,6-Dioxadecanol,diethylene dbDiethylene Glycol Butyl EtherDiethylene glycol, monobutyl ether,Diethylene Glycol Mono-n-butyl Etherdiethylene glycol n-butyl etherdiglycol monobutyl etherbutoxydiethylene glycolButoxydiglycolbutyl dioxitolButyl Carbitoldowanol dbDowanol ORektasolve dbglycol ether dbGlycol, monobutyl ether,jeffersol dbn-Butyl Carbitolpoly-solv dbDiethyleneglycol monobutyl etherButyldiglycol",
346,Butoxyethanol,,miscible,118.174,0.896g/cm3,C6H14O2,,2-butoxy-1-ethanolmonobutyl ether of ethylene glycolmonobutyl glycol ethern-butoxyethanoln-Butyl Cellosolvepoly-solv eb2-BUTOXY ETHANOL (ETHYLENE GLYCOL MONOBUTYL ETHER)o-butyl ethylene glycol2-n-Butoxy-1-ethanol2-n-Butoxyethanol3-oxa-1-heptanolBeta-butoxyethanolBUCSbutoxyethanolButyl cellosolvebutyl glycolButyl oxitolDowanol EBEktasolve EBEktasolve EB solventEthylene glycol butyl etherEthylene glycol mono butyl etherEthylene glycol monobutyl ether (EGBE) (2-Butoxyet? Ethylene Glycol Mono-n-butyl EtherEthylene glycol n-butyl ethergafcol ebglycol butyl etherglycol ether ebglycol ether eb acetateJeffersol EBethylene glycol monobutyl ether2-butoxyethanol1-butoxyethanolBCS,
347,Butoxyethyl Acetate,,,,,,,,
348,Butoxyethyl Nicotinate,,,,,,,,
349,Butoxypropanol,,,132.2,,C7H16O2,,Butoxypropanolalpha-propylene glycol 1-butyl ether1-Butoxy-2-propanolPropylene Glycol Monobutyl Ether,
350,Butyl Acetate,,0.7 g/100 mL (20???),116.158,0.886g/cm3,C6H12O2,,Acetic acid n-butyl esterButyl ethanoateAcetic acid butyl esterButyl Acetate,
351,Butyl Acetyl Ricinoleate,,,,,,,,
352,Butyl Benzoate,,,177.22,,C11H13O2,,Butyl Benzoate2-butylbenzoate,
353,Butyl Ester Of Pvm Ma Copolymer,,,,,,,,
354,Butyl Isostearate,,,,,,,,
355,Butyl Lactate,,42 g/L (25???),146.184,1.005g/cm3,C7H14O3,,2-Propanoic AcidButyl 2-hydroxypropanoateButyl alpha-HydroxypropionateButyl LactateLactic Acid Butyl Esterbutyl (2R)-2-hydroxypropanoatebutyl (2S)-2-hydroxypropanoate(-)-butyl L-lactaten-Butyl (S)-(-)-2-hydroxypropionateL-Lactic acid n-butyl ester(R)-(-)-ButyllactatButyl L-Lactate,
356,Butyl Methacrylate,,3 g/L (20???),142.198,,C8H14O2,,"2-Methyl-2-Propenoic Acid Butyl Ester2-Methyl butyl acrylateButyl 2-Methyl-2-Propenatebutyl 2-methyl-2-propenoateButyl methacrylate, stabilized with 25 ppm methylhydroquinone,n-Butyl Methacrylate4-methyl-2-methylidenehexanoaten-Butyl Methylacrylate",
357,Butyl Methoxydibenzoylmethane,,,310.39,1.084g/cm3,C20H22O3,,"parseal-17891-(4-(1,1-Dimethylethyl)phenyl)-3-(4-methoxyphenyl)-1,3-propanedione,Parsol 1789Sunscreener 1789Butyl Methoxydibenzoylmethane1-(4-tert-butylphenyl)-3-(4-methoxyphenyl)propane-1,3-dione,2-pentoxy-1,3-diphenyl-propane-1,3-dione,Parsol-1789P-methoxydibenzoylmethaneEusolex 9020Escalol 517",
358,Butyl Myristate,,,,,,,,
359,Butyl Oleate,,,338.568,0.87g/cm3,C22H42O2,,"9-Octadecenoic acid (Z)-, butyl ester,Butyl oleateOLEIC ACID N-BUTYL ESTER(Z)-9-Octadecenoic acid butyl esterbutyl (9Z)-octadec-9-enoate",
360,Butyl Phthalyl Butyl Glycolate,,,336.38,,C18H24O6,,,
361,Butyl Stearate,,,611.034,,C39H78O4,,,
362,Butyl Thioglycolate,,,148.223,1.088g/cm3,C6H12O2S,,,
363,Butylated Polyoxymethylene Urea,,,,,,,,
364,Butyloctanoic Acid,,,,,,,,
365,Butyloctanol,,,186.33,0.829g/cm3,C12H26O,,"Butyloctanol1-Octanol, 2-butyl-,2-Butyl-1-octanol2-Butyloctanol2-Butyloctyl alcohol4-01-00-01855 (Beilstein Handbook Reference)5-(Hydroxymethyl)undecaneAI3-19958BRN 1738522NSC 24142-Butyloctan-1-ol",
366,Butyloctyl Benzoate,,,,,,,,
367,Butyloctyl Oleate,,,,,,,,
368,Butyloctyl Salicylate,,,,,,,,
369,Butylparaben,,<0.1 g/100 mL at 17???,194.23,1.168g/cm3,C11H14O3,,4-(butoxycarbonyl)phenol4-Hydroxybenzoic acid butyl esterp-hydroxybenzoic acid n-butyl esterp-Hydroxy butyl benzoateaseptoform butylButobenButyl 4-hydroxybenzoateButyl Paraseptbutyl butexButyl Chemoseptbutyl tegoseptn-Butyl parabenn-Butyl p-Hydroxybenzoatenipabutylpreserval bsolbrol bSPFTegosept Btegosept butylButyl P-Hydroxybenzoate2-butyl-4-hydroxybenzoic acidButyl HydroxybenzoateButylparaben,
370,Butyrolactone,,,86.0892,1.096g/cm3,C4H6O2,,Butyrolactonedl-B-hydroxybutyric acid lactonedihydrofuran-2(3H)-one(4R)-4-methyloxetan-2-one(4S)-4-methyloxetan-2-one,
371,C7-8 Isoparaffin,,,,,,,,
372,C9-11 Isoparaffin,,,,,,,,
373,C10-13 Isoparaffin,,,,0.752 g/mL at 25 ??C(lit.),C10H22,,"TETRAPROPANEc10-13-iso-alkaneC10-13-iso-AlkanesAlkanes, C10-13-iso-,C10-13 ISOPARAFFINMINERAL SPIRITS, ODORLESS,C10-13 isopar,Isoparaffin C12,SOLTROL130",
374,C12-13 Alcohols,,,,,,,,
375,C12-14 Isoparaffin,,,,,,,,
376,C12-15 Alkyl Benzoate,,,,,,,,
377,C12-15 Alkyl Lactate,,,,,,,,
378,C12-16 Alcohols,,,,,,,,
379,C13-16 Isoparaffin,,,,,,,,
380,C18-70 Isoparaffin,,,,,,,,
381,C24-28 Olefin,,,,,,,,
382,Caffeine,,20 g/L (20???),194.19,1.23,C8H10N4O2,,Caffeine Anhydrousmelting point standard caffeineNatural CaffeinumGreen tea extract Caffeine,
383,Caffeine Benzoate,,,,,,,,
384,Calamine,,,241.0776,,ZnCO3,,,
385,Calcium Acetate,,soluble,158.17,,(CH3COO)2Ca,,"Calcium Acetate,Anhydrous,Acetic Acid Calcium Salt",
386,Calcium Alginate,,,1170.93,,C18H24CaO19,,"Alginic acid, calcium salt,Alginates, sodium, calcium and ammonium,CA 33CalginateCombinaceFEMA No. 2015HSDB 1911Kaltostat",
387,Calcium Alginate,,,1170.93,,C18H24CaO19,,"Alginic acid, calcium salt,Alginates, sodium, calcium and ammonium,CA 33CalginateCombinaceFEMA No. 2015HSDB 1911Kaltostat",
388,Calcium Aspartate,,,171.16,,C4H5CaNO4,,ASPARTATE CALCIUMcalcium 2-aminobutanedioateCaIciam asoartateL-Aspartic acid calcium saltCalcium aspartate,
389,Calcium Aspartate,,,171.16,,C4H5CaNO4,,ASPARTATE CALCIUMcalcium 2-aminobutanedioateCaIciam asoartateL-Aspartic acid calcium saltCalcium aspartate,
390,Calcium Aspartate,,,171.16,,C4H5CaNO4,,ASPARTATE CALCIUMcalcium 2-aminobutanedioateCaIciam asoartateL-Aspartic acid calcium saltCalcium aspartate,
391,Calcium Behenate,,,,,,,,
392,Calcium Benzoate,,,282.32(anhy),,C14H10CaO4,,Calcium benzoatecalcium dibenzoate,
393,Calcium Carbonate,,Insoluble,100.09,,CaCO3,,C.I. 77220C.I. Pigment White 18ChalkWeightily Calcium CarbonateCalcium Carbonate LightCalcium Carbonate HeavyBiological Calcium CarbonateOyster Shell PowderLimestone,
394,Calcium Chloride,,740 g/L (20???),110.98,1.086 g/mL at 20 ??C,CaCl2,,Anhydrous calcium chlorideanhydrouscalciumchloridecalciumchloraidecalciumchloride(anhydrous)Calcium chloride anhydrous,
395,Calcium Citrate,,,670.583,,C16H14Ca4O19,,,
396,Calcium Cyclamate,,,396.54,,C12H24N2O6S2Ca?2[H2O],,,
397,Calcium Dihydrogen Phosphate,,insoluble,234.05,,Ca(H2PO4)2,,Calcium bis(dihydrogenphosphate) MonohydrateCalcium dihydrogenphoshateCalcium phosphate monobasic monohydrateCalcium tetrahydrogenCalcium dihydrogen phosphateMonocalcium Phosphatecalcium dihydrogen phosphate hydratecalcium dihydrophosphateCalcium Dihydrogen Orthophosphate,
398,Calcium Disodium Edta,,,374.268,,C10H12CaN2Na2O8,,"Calcium disodium ethylenediamine tetraacetic acidDisodium calcium edtaEdetate calcium disodium (anhydrous)(Ethylenedinitrilo)tetraacetic acid calcium disodium saltAcetic acid, (ethylenedinitrilo)tetra-, calcium disodium salt,AdsorbonacAntalinCCRIS 3657Calciate(2-), ((ethylenedinitrilo)tetraacetato)-, disodium,Calciedetate de sodiumCalcioedetato sodicoCalcitetracemate disodiumCalcium EDTACalcium disodium (ethylenedinitrilo)tetraacetateCalcium disodium edathamilCalcium disodium edetateCalcium disodium ethylendiaminetetraacetateCalcium disodium ethylenediaminetetraacetateCalcium disodium versenateCalcium edetate de sodiumCalcium sodium EDTACalcium titriplexCalcium-EDTAChelatonDinatrium calcium edeticumDisodium ((ethylenedinitrilo)tetraacetato)calciateDisodium calcium ethylenediaminetetraacetateDisodium monocalcium EDTAEDTA calcium disodium saltEDTA disodium calcium saltEdathamil calcium disodiumEdetaminEdetamineEdetate calciumEdetate calcium disodiumEdetato sodico calcicoEdetic acid calcium disodium saltEdta,calcium,Edta,calcium disodium,Edta-calcium sodiumEdtacalEthylenediaminetetraacetic acid calcium disodium saltEthylenediaminetetraacetic acid, calcium disodium chelate,HSDB 4072LedclairMonocalcium disodium EDTAMosatilNSC 310151Natrii calcii edetasRikelate calciumSodium (calciedetate de)Sodium calcium edetateSodium calciumedetateSormetalTetacinTetacin-calciumTetazineUNII-8U5D034955VerseneVersene CAEthylene diamine tetraacetic acid, disodium calcium salt,Ethylenediaminetetraacetic Acid Disodium Calcium SaltEthylensdiaminetetraacetic acid disodium calcium saltEthylendiaminetetraacetic acid disodium calcium salt2-[(4-ethyl-5-thiophen-2-yl-4H-1,2,4-triazol-3-yl)sulfanyl]-1-[1-(4-fluorophenyl)-2,5-dimethyl-1H-pyrrol-3-yl]ethanone,EDTA Calcium SaltEDTA-CaNa2Edta Calcium Disodium",
399,Calcium Disodium Edta,,,374.268,,C10H12CaN2Na2O8,,"Calcium disodium ethylenediamine tetraacetic acidDisodium calcium edtaEdetate calcium disodium (anhydrous)(Ethylenedinitrilo)tetraacetic acid calcium disodium saltAcetic acid, (ethylenedinitrilo)tetra-, calcium disodium salt,AdsorbonacAntalinCCRIS 3657Calciate(2-), ((ethylenedinitrilo)tetraacetato)-, disodium,Calciedetate de sodiumCalcioedetato sodicoCalcitetracemate disodiumCalcium EDTACalcium disodium (ethylenedinitrilo)tetraacetateCalcium disodium edathamilCalcium disodium edetateCalcium disodium ethylendiaminetetraacetateCalcium disodium ethylenediaminetetraacetateCalcium disodium versenateCalcium edetate de sodiumCalcium sodium EDTACalcium titriplexCalcium-EDTAChelatonDinatrium calcium edeticumDisodium ((ethylenedinitrilo)tetraacetato)calciateDisodium calcium ethylenediaminetetraacetateDisodium monocalcium EDTAEDTA calcium disodium saltEDTA disodium calcium saltEdathamil calcium disodiumEdetaminEdetamineEdetate calciumEdetate calcium disodiumEdetato sodico calcicoEdetic acid calcium disodium saltEdta,calcium,Edta,calcium disodium,Edta-calcium sodiumEdtacalEthylenediaminetetraacetic acid calcium disodium saltEthylenediaminetetraacetic acid, calcium disodium chelate,HSDB 4072LedclairMonocalcium disodium EDTAMosatilNSC 310151Natrii calcii edetasRikelate calciumSodium (calciedetate de)Sodium calcium edetateSodium calciumedetateSormetalTetacinTetacin-calciumTetazineUNII-8U5D034955VerseneVersene CAEthylene diamine tetraacetic acid, disodium calcium salt,Ethylenediaminetetraacetic Acid Disodium Calcium SaltEthylensdiaminetetraacetic acid disodium calcium saltEthylendiaminetetraacetic acid disodium calcium salt2-[(4-ethyl-5-thiophen-2-yl-4H-1,2,4-triazol-3-yl)sulfanyl]-1-[1-(4-fluorophenyl)-2,5-dimethyl-1H-pyrrol-3-yl]ethanone,EDTA Calcium SaltEDTA-CaNa2Edta Calcium Disodium",
400,Calcium Disodium Edta,,,374.268,,C10H12CaN2Na2O8,,"Calcium disodium ethylenediamine tetraacetic acidDisodium calcium edtaEdetate calcium disodium (anhydrous)(Ethylenedinitrilo)tetraacetic acid calcium disodium saltAcetic acid, (ethylenedinitrilo)tetra-, calcium disodium salt,AdsorbonacAntalinCCRIS 3657Calciate(2-), ((ethylenedinitrilo)tetraacetato)-, disodium,Calciedetate de sodiumCalcioedetato sodicoCalcitetracemate disodiumCalcium EDTACalcium disodium (ethylenedinitrilo)tetraacetateCalcium disodium edathamilCalcium disodium edetateCalcium disodium ethylendiaminetetraacetateCalcium disodium ethylenediaminetetraacetateCalcium disodium versenateCalcium edetate de sodiumCalcium sodium EDTACalcium titriplexCalcium-EDTAChelatonDinatrium calcium edeticumDisodium ((ethylenedinitrilo)tetraacetato)calciateDisodium calcium ethylenediaminetetraacetateDisodium monocalcium EDTAEDTA calcium disodium saltEDTA disodium calcium saltEdathamil calcium disodiumEdetaminEdetamineEdetate calciumEdetate calcium disodiumEdetato sodico calcicoEdetic acid calcium disodium saltEdta,calcium,Edta,calcium disodium,Edta-calcium sodiumEdtacalEthylenediaminetetraacetic acid calcium disodium saltEthylenediaminetetraacetic acid, calcium disodium chelate,HSDB 4072LedclairMonocalcium disodium EDTAMosatilNSC 310151Natrii calcii edetasRikelate calciumSodium (calciedetate de)Sodium calcium edetateSodium calciumedetateSormetalTetacinTetacin-calciumTetazineUNII-8U5D034955VerseneVersene CAEthylene diamine tetraacetic acid, disodium calcium salt,Ethylenediaminetetraacetic Acid Disodium Calcium SaltEthylensdiaminetetraacetic acid disodium calcium saltEthylendiaminetetraacetic acid disodium calcium salt2-[(4-ethyl-5-thiophen-2-yl-4H-1,2,4-triazol-3-yl)sulfanyl]-1-[1-(4-fluorophenyl)-2,5-dimethyl-1H-pyrrol-3-yl]ethanone,EDTA Calcium SaltEDTA-CaNa2Edta Calcium Disodium",
401,Calcium Disodium Edta,,,374.268,,C10H12CaN2Na2O8,,"Calcium disodium ethylenediamine tetraacetic acidDisodium calcium edtaEdetate calcium disodium (anhydrous)(Ethylenedinitrilo)tetraacetic acid calcium disodium saltAcetic acid, (ethylenedinitrilo)tetra-, calcium disodium salt,AdsorbonacAntalinCCRIS 3657Calciate(2-), ((ethylenedinitrilo)tetraacetato)-, disodium,Calciedetate de sodiumCalcioedetato sodicoCalcitetracemate disodiumCalcium EDTACalcium disodium (ethylenedinitrilo)tetraacetateCalcium disodium edathamilCalcium disodium edetateCalcium disodium ethylendiaminetetraacetateCalcium disodium ethylenediaminetetraacetateCalcium disodium versenateCalcium edetate de sodiumCalcium sodium EDTACalcium titriplexCalcium-EDTAChelatonDinatrium calcium edeticumDisodium ((ethylenedinitrilo)tetraacetato)calciateDisodium calcium ethylenediaminetetraacetateDisodium monocalcium EDTAEDTA calcium disodium saltEDTA disodium calcium saltEdathamil calcium disodiumEdetaminEdetamineEdetate calciumEdetate calcium disodiumEdetato sodico calcicoEdetic acid calcium disodium saltEdta,calcium,Edta,calcium disodium,Edta-calcium sodiumEdtacalEthylenediaminetetraacetic acid calcium disodium saltEthylenediaminetetraacetic acid, calcium disodium chelate,HSDB 4072LedclairMonocalcium disodium EDTAMosatilNSC 310151Natrii calcii edetasRikelate calciumSodium (calciedetate de)Sodium calcium edetateSodium calciumedetateSormetalTetacinTetacin-calciumTetazineUNII-8U5D034955VerseneVersene CAEthylene diamine tetraacetic acid, disodium calcium salt,Ethylenediaminetetraacetic Acid Disodium Calcium SaltEthylensdiaminetetraacetic acid disodium calcium saltEthylendiaminetetraacetic acid disodium calcium salt2-[(4-ethyl-5-thiophen-2-yl-4H-1,2,4-triazol-3-yl)sulfanyl]-1-[1-(4-fluorophenyl)-2,5-dimethyl-1H-pyrrol-3-yl]ethanone,EDTA Calcium SaltEDTA-CaNa2Edta Calcium Disodium",
402,Calcium Disodium Edta,,,374.268,,C10H12CaN2Na2O8,,"Calcium disodium ethylenediamine tetraacetic acidDisodium calcium edtaEdetate calcium disodium (anhydrous)(Ethylenedinitrilo)tetraacetic acid calcium disodium saltAcetic acid, (ethylenedinitrilo)tetra-, calcium disodium salt,AdsorbonacAntalinCCRIS 3657Calciate(2-), ((ethylenedinitrilo)tetraacetato)-, disodium,Calciedetate de sodiumCalcioedetato sodicoCalcitetracemate disodiumCalcium EDTACalcium disodium (ethylenedinitrilo)tetraacetateCalcium disodium edathamilCalcium disodium edetateCalcium disodium ethylendiaminetetraacetateCalcium disodium ethylenediaminetetraacetateCalcium disodium versenateCalcium edetate de sodiumCalcium sodium EDTACalcium titriplexCalcium-EDTAChelatonDinatrium calcium edeticumDisodium ((ethylenedinitrilo)tetraacetato)calciateDisodium calcium ethylenediaminetetraacetateDisodium monocalcium EDTAEDTA calcium disodium saltEDTA disodium calcium saltEdathamil calcium disodiumEdetaminEdetamineEdetate calciumEdetate calcium disodiumEdetato sodico calcicoEdetic acid calcium disodium saltEdta,calcium,Edta,calcium disodium,Edta-calcium sodiumEdtacalEthylenediaminetetraacetic acid calcium disodium saltEthylenediaminetetraacetic acid, calcium disodium chelate,HSDB 4072LedclairMonocalcium disodium EDTAMosatilNSC 310151Natrii calcii edetasRikelate calciumSodium (calciedetate de)Sodium calcium edetateSodium calciumedetateSormetalTetacinTetacin-calciumTetazineUNII-8U5D034955VerseneVersene CAEthylene diamine tetraacetic acid, disodium calcium salt,Ethylenediaminetetraacetic Acid Disodium Calcium SaltEthylensdiaminetetraacetic acid disodium calcium saltEthylendiaminetetraacetic acid disodium calcium salt2-[(4-ethyl-5-thiophen-2-yl-4H-1,2,4-triazol-3-yl)sulfanyl]-1-[1-(4-fluorophenyl)-2,5-dimethyl-1H-pyrrol-3-yl]ethanone,EDTA Calcium SaltEDTA-CaNa2Edta Calcium Disodium",
403,Calcium Fluoride,,INSOLUBLE,78.07,,CaF2,,calcium fluoride coating quality balzerscalcium fluoride anhydrousCalciumfluorideprecipitatedCalciumfluoride2Calciumfluoridepowderednaturalmineral1CalciumfluoridewhitepowderCalciumfluoridephosphorgrademicronwhitepowderFluorite powder,
404,Calcium Glucoheptonate,,,490.42,,C14H26CaO16,,"calciumalpha-glucoheptonatecalciumglucoheptanoatecalciumheptagluconated-glycero-d-gulo-heptonicacid,calciumsalt,",
405,Calcium Glucoheptonate,,,490.42,,C14H26CaO16,,"calciumalpha-glucoheptonatecalciumglucoheptanoatecalciumheptagluconated-glycero-d-gulo-heptonicacid,calciumsalt,",
406,Calcium Glucoheptonate,,,490.42,,C14H26CaO16,,"calciumalpha-glucoheptonatecalciumglucoheptanoatecalciumheptagluconated-glycero-d-gulo-heptonicacid,calciumsalt,",
407,Calcium Gluconate,,3.3 g/100mL,430,,C12H22CaO14,,"Gluconic acid calcium saltcalcii gluconascalcium d-gluconated-gluconic acid calcium saltcalcium bis[(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanoate] (non-preferred name),calcium bis(2,3,4,5,6-pentahydroxyhexanoate) (non-preferred name),Calcium gluconate anhydrous",
408,Calcium Glycerophosphate,,,210.14,,CaO3POCH2CH(OH)CH2OH,,"Calucium GlycerophosphateCalcium glycerophosphate2,3-Dihydroxypropyl (dihydrogen phosphate), calcium salt,Glycerophosphatescalcium 2,3-dihydroxypropyl phosphate,(2S)-2,3-dihydroxypropyl phosphate,(2R)-2,3-dihydroxypropyl phosphate,dicalcium2,3-dihydroxypropyl phosphate,[2-hydroxy-1-(hydroxymethyl)ethyl] phosphate",
409,Calcium Hydroxide,,1.65 g/L (20???),74.09,,Ca(OH)2,,Slaked limecalcium dihydroxidecalcium hydratedihydroxycalcium,
410,Calcium Lactate,,,218,,C6H10CaO6,,"calcium dilactateL-(+)-Lactic Acid, Calcium Salt,L-Calcium Lactate",
411,Calcium Laurate,,,,,,,,
412,Calcium Lignosulfonate,,,528.61,0.5 g/cm3,C20H24CaO10S2,,Lignosulfonic acid calcium saltCalcium LignosulfonateLigninesulfonate Calciumcalcium 3-(2-hydroxy-3-methoxyphenyl)-2-[2-methoxy-4-(3-sulfonatopropyl)phenoxy]propane-1-sulfonate,
