id,Chemical Name,LogP (Partition coefficient),LogS (water solubility of the ingredient),Molecular weight,Density,Chemical formula,Structure,Synonyms,Functionalities
748,Diammonium Phosphate,,58 g/ 100mL (10 °C),132.06,1.203g/mLat 25°C,H9N2O4P,,"['phos-chek202', 'phos-chek259', 'Ammonium phosphate', 'Diammonium Phosphate', 'Di-Ammonium Phosphate', 'SEC AMMONIUM PHOSPHATE', 'PHOSPHORUS ICP STANDARD', 'secondaryammoniumphosphate', 'Ammonium phosphate dibasic', 'Ammonium hydrogen phosphate', 'Ammonium phosphate, dibasic', 'Diammonium hydrogenphosphate', 'Diammonium hydrogen phosphate', 'Phosphoricacid,diammoniumsalt', 'SEC-AMMONIUM HYDROGEN PHOSPHATE', 'Ammonium Hydrogen Orthophosphate', 'di-Ammonium hydrogen orthophosphate', 'Phosphorus ICP standard solution Fluka']",
749,Diamyl Sodium Sulfosuccinate,,,,,,,,
750,Diamylhydroquinone,,,,,,,,
751,Diazolidinyl Urea,,1000g/L at 20°C,278.22,1.4734 (rough estimate),C8H14N4O7,,"['GerMall IS-45', 'roxymethyl)urea', 'Diazolidinylurea', 'Diazolidinyl urea', 'Diazolidinyl urea (DU)', '1-imidazolidin-1-ylurea', 'Germall-2 Powder Antiseptic', 'Diazolidiny1 Urea(GerMallã\x80\x80â\x85¡ )', 'Diazolidinyl Urea (diazonium imidazolidinyl urea)', '1-[1,3-bis(hydroxymethyl)-2,5-dioxoimidazolidin-4-yl]-1,3-bis(hydroxymethyl)urea']",
752,Dibehenamidopropyldimethylamine Dilinoleate,,,,,,,,
753,Dibehenyl Methylamine,,,,,,,,
754,Dibehenyldimonium Chloride,,,698.71414,,C46H96ClN,,['DIBEHENYLDIMONIUM CHLORIDE'],
755,Dibehenyldimonium Methosulfate,,,,,,,,
756,Dibenzothiophene,,SOLUBLE,184.26,1.1410 (rough estimate),C12H8S,,"['9-Thiafluorene', 'Dibenzothiophe', 'Dibenzothiophene', 'Biphenylensulfide', 'Diphenylene sulphide', 'dibenzo[b,d]thiophene', 'Dibenzothiophene 132-65-0', 'DibenzthiopheneDiphenylene Sulfide']",
757,Dibromopropamidine Diisethionate,,,,,,,,
758,Dibutyl Adipate,,35mg/L at 25°C,258.35,0.962 g/mL at 25 °C (lit.),C14H26O4,,"['unitolateb', 'dlbutyladipate', 'dibutyl adipate', 'di-n-butyladipate', 'dibutyl hexanedioate', 'experimentaltickrepellent3', 'Adipic acid Di-n-butyl ester', 'ADIPIC ACID DI-N-BUTYL ESTER', 'experimentaltickrepellent3ps', 'Experimental Tick Repellent 3', 'Experimental Tick Repellent 3PS']",
759,Dibutyl Lauroyl Glutamide,,,,,,,,
760,Dibutyl Oxalate,,Practically insoluble in water,202.25,0.986g/mLat 25°C(lit.),C10H18O4,,"['Butyl oxalate', 'Dibutyl oxalate', 'DIBUTYL OXALATE', 'Dibutyl Oxalate', 'Dibutylethandioat', 'Di-n-butyl oxalate', 'Butyl ethanedioate', 'Dibutylethanedionate', 'Dibutyl ethanedioate', 'Oxalic acid, dibutyl ester', 'OXALIC ACID DI-N-BUTYL ESTER', 'Dibutyl ester of oxalic acid', 'ETHANEDIOIC ACID DIBUTYL ESTER', 'ethanedioic acid, dibutyl ester', 'Oxalic acid, dibutyl ester (8CI)']",
761,Dibutyl Sebacate,,50mg/L(temperature not stated),314.46,0.94,C18H34O4,,"['DBS', 'Butyl sebacate', 'n-Butyl Sebacate', 'dibutyl sebacate', 'Dibutyl sebacinate', 'Di-n-butyl Sebacate', 'Dibutyl decanedioate', 'Dibutyl Sebacate (AS)', 'DIBUTYL SEBACATE, TECH.', 'Dibutyl Sebacate (1 mL)', 'Decanedioic acid dibutyl', 'dibutyl-1,10-decanedioate', 'Dibutyl Sebacate (1 mL) (AS)', 'decanedioic acid dibutyl ester', 'Dibutyl sebacate,Sebacic acid dibutyl ester']",
762,Dibutylene Tetrafurfural,,,,,,,,
763,Dicalcium Phosphate,,"Sparingly soluble in water, practically insoluble in cold water.",136.06,2.306ï¼16°Cï¼,CaHO4P,,"['Secondary calcium', 'Dicalcium phosphate', 'Calcium Hydrophosphate', 'CALCIUM ORTHOPHOSPHATE', 'calciumdibasicphosphate', 'Dibasic Calcium Phosphate', 'Calcuim Phosphate Dibasic', 'Calcium Hydrogen Phosphate', 'Calcium phosphate, dibasic', 'CALCIUM PHOSPHATE, DIBASIC', 'calcium hydrogenorthophosphate', 'CALCIUM MONOHYDROGEN PHOSPHATE', 'Calcium monohydrogen phosphate', 'CALCIUM HYDROGEN ORTHOPHOSPHATE', 'Calcium hydrogen phosphate,agricultural', 'calciumperphosphate,ammonified,granular', 'CALCIUM MONOHYDROGEN PHOSPHATE, DIBASIC', 'Calcium perphosphate,ammonified,granular']",
764,Dicalcium Phosphate Dihydrate,,"Slightly soluble in water. Soluble in dilute hydrochloric, nitric, and acetic acid. Insoluble in alcohol",172.09,2.31,CaH5O6P,,"['CALCIUM  PHOSPH', 'dicalciurn phosphate', 'Calcium Phosphate Dihydrate', 'Calciumhydrogenphosphate,dih', 'dicalcium phosphate dihydrate', 'Calciumhydrogenphosphate,medicinal', 'Calcium hydrogenphosphate dihydrate', 'Calcium phosphate dibasic dihydrate', 'calcium hydrogen phosphate dihydrate', 'Calcium hydrogen phosphate,agricultural', 'Calcium hydrogen phosphate Dihydrate precipitate', 'Calcii  hydrogenophosphas  dihydricus,  Calcium  hydrogen  phosphate  dihydrate']",
765,Dicapryl Adipate,,4.2Î¼g/L at 20°C,370.57,0.927Â±0.06 g/cm3(Predicted),C22H42O4,,"['di-capryl', 'CAPRYL) ADIPATE', 'DICAPRYL ADIPATE', 'DI-N-DECYL ADIPATE', 'dioctan-2-yl hexanedioate', 'bis(1-methylheptyl)adipate', 'adipicacidbis-(1-methyl-heptylester)', 'Hexanedioicacid,bis(1-methylheptyl)ester']",
766,Dicapryl Sodium Sulfosuccinate,,,,,,,,
767,Dicapryloyl Cystine,,,,,,,,
768,Dicaprylyl Ether,,,,,,,,
769,Dicaprylyl Maleate,,,,,,,,
770,Dicetyl Adipate,,,594.99,,C38H74O4,,"['Adipic acid dihexadecyl ester', 'Cetyl adipate', 'dihexadecyl adipate', 'DICETYL ADIPATE', 'dihexadecyl hexanedioate', 'Hexanedioic acid, 1,6-dihexadecyl ester']",
771,Dicetyl Ether,,,,,,,,
772,Dicetyl Phosphate,,,,,,,,
773,Dicetyl Thiodipropionate,,,,,,,,
774,Dicetyldimonium Chloride,,,,,,,,
775,Dichloromethane,,20 g/L (20°C),84.93,1.325,CH2Cl2,,"['R 30', 'narkotil', 'solaesthin', 'solmethine', 'Plastisolve', 'Refrigerant 30', 'Dichloromethane', 'Methane dichloride', 'Methylene chloride', 'Methylene dichloride']",
776,Dichlorophene,,<0.1 g/100 mL at 22 °C,269.12,1.3239 (estimate),C13H10Cl2O2,,"['DDDM', 'Cuniphen', 'Cordocel', 'Compound g4', 'Dichlorofen', 'Dichloorfeen', 'Dichlorophen', 'Dichlorophene', 'biocide-algaecide NL-4', 'di(5-chloro-2-hydroxyphenyl)methane', 'Bis(5-chloro-2-hydroxyphenyl)methane', 'Di-(5-chloro-2-hydroxyphenyl)methane', 'bis-2-hydroxy-5-chlorfenylmethan(czech)']",
777,Dichlorophenyl Imidazoldioxolan,,,249.05084,1.37g/cm3,C8H6Cl2N2O3,,"['Elubiol', 'Purchase azole', 'Dichlorophenylimidazoldioxolan', 'DICHLOROPHENYL IMIDAZOLDIXOLAN', 'DICHLOROPHENYL IMIDAZOLDIOXOLAN', 'cis-4-{4-[2-(2,4-Dichlorophenyl)-2-(1H-imidazol-1-methyl)-1,3-dioxolane-4-methoxy]phenyl}piperazinecarboxylic acid ethyl ester', 'Ethyl 4-(4-{[(2R,4S)-2-(2,4-dichlorophenyl)-2-(1H-imidazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy}phenyl)piperazine-1-carboxylate', '1-piperazinecarboxylic acid, 4-[4-[[(2R,4S)-2-(2,4-dichlorophenyl)-2-(1H-imidazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]phenyl]-, ethyl ester', '1-Piperazinecarboxylic acid, 4-(4-(((2R,4S)-2-(2,4-dichlorophenyl)-2-(1H-imidazol-1-ylmethyl)-1,3-dioxolan-4-yl)methoxy)phenyl)-, ethyl ester, rel-', 'DichlorophenyliMidazoldioxolan(ethyl4-(4-{[(2R,4S)-2-(2,4-dichlorophenyl)-2-(1H-iMidazol-1-ylMethyl)-1,3-dioxolan-4-yl]Methoxy}phenyl)piperazine-1-carboxylate)']",
778,Dicyclohexyl Sodium Sulfosuccinate,,,,,,,,
779,Didecyldimonium Chloride,,650mg/L at 25°C,362.08,0.87[at 20°C],C22H48ClN,,"['ddac', 'D1021', 'btc1010', 'btco1010', 'bardac22', 'aliquat203', 'bio-dac50-22', 'Bardac(R) 22', 'quaternium 12', 'Bardac(R) 2240', 'DIDECYLDIMONIUM CHLORIDE', 'Didecyldimonium chloride', 'dimethyldidecylammoniumchloride', 'didecyldimethyl-ammoniuchloride', 'didecyldimethylammoniumchloride', 'didecyldimethylammonium chloride', 'Didecildimethylammonium chloride', 'DIDECYL-DIMETHYLAMMONIUM CHLORIDE', 'Didecyl-Dimethylammonium chloride', 'Didecyl Dimethyl Ammonium Chloride', 'N,N-Didecyl-N,N-dimethylammonium chloride', 'n-decyl-n,n-dimethyl-1-decanaminiuchloride', 'N-decyl-N,N-dimethyldecan-1-aminium chloride', 'N-Decyl-N,N-dimethyl-1-decanaminium chloride', 'N,N-Dimethyl-N,N-dioctadecylammonium chloride', '1-Decanaminium,N-decyl-N,N-dimethyl-,chloride']",
780,Dierucic Acid,,,,,,,,
781,Diethanolamine Bisulfate,,,,,,,,
782,Diethoxyethyl Succinate,,,262.3,1.064Â±0.06 g/cm3(Predicted),C12H22O6,,"['Butanedioic acid bis(2-ethoxyethyl) ester', 'Ethane-1,2-dicarboxylic acid bis(2-ethoxyethyl) ester', 'Succinic acid bis(2-ethoxyethyl) ester', 'DIETHOXYETHYL SUCCINATE', 'Butanedioic acid, 1,4-bis(2-ethoxyethyl) ester']",
783,Diethyl Acetyl Aspartate,,,,,,,,
784,Diethyl Aspartate,,,189.21,1.102Â±0.06 g/cm3(Predicted),C8H15NO4,,"['DIETHYL ASPARTATE', 'diethyl (L)-aspartate', 'L-Aspartic acid diethyl', 'L-Aspartic diethyl ester', 'L-Aspartic acid, 1,4-diethyl ester', '[S,(+)]-Aminosuccinic acid diethyl ester']",
785,Diethyl Glutamate,,,239.7,1.08g/cm3,C9H18ClNO4,,"['diethyl glutamate', 'H-Glu(OEt)-OEtÂ·HCl', 'H-Glu(OEt)-OEt.HCl', 'diethyl L-glutamate', 'H-Glu(OEt)-OEt . HCl', 'diethyl L-glutamate hydrochloride', 'L-glutamic acid diethyl ester hydrochloride']",
786,Diethyl Oxalate,,MAY DECOMPOSE,146.14,1.076 g/mL at 25 °C (lit.),C6H10O4,,"['ETHYL OXALATE', 'Ethyl oxalate', 'C2H5OCOCOOC2H5', 'Diethyl oxalate', 'DIETHYL OXALATE', 'AKOS BBS-00004457', 'RARECHEM AL BI 0114', 'diethyl ethanedioate', 'DIETHYL ETHANEDIOATE', 'OXALIC ACID DIETHYL ESTER', 'Oxalic acid diethyl ester', 'Ethanedioic acid diethyl ester']",
787,Diethyl Palmitoyl Aspartate,,,,,,,,
788,Diethyl Phthalate,,1 g/L (20 °C),222.24,1.12 g/mL at 25 °C (lit.),C12H14O4,,"['DEP', 'Anozol', 'Diethyl ester', 'Ethyl phthalate', 'DIETHYLPHTALATE', 'Diethyl phthalate', '1,2-diethyl phthalate', 'Phthalic Acid Diethyl Ester', 'diethyl1,2-benzenedicarboxylate', 'Diethyl-1,2-benzenedicarboxylate', '1,2-benzenedioicacid,diethylester', 'diethyl benzene-1,2-dicarboxylate', '-Benzenedicarboxylic acid diethyl ester', 'Benzene-1,2-dicarboxylic acid diethyl ester', 'Diethyl ester of 1,2-Benzenedicarboxylic acid', 'Diethyl  phthalate, (Phthalic  acid  diethyl  ester)']",
789,Diethyl Sebacate,,slightly soluble,258.35,0.963 g/mL at 25 °C (lit.),C14H26O4,,"['DES', 'Diethylsebacat', 'Diethyl Sebacate', 'diethyl decanedioate', 'DES (diethyl sebacate)', 'SEBACIC ACID DIETHYL ESTER', 'SEBATIC ACID DIETHYL ESTER', 'Diethyl sebacate (technical)']",
790,Diethyl Succinate,,Slightly soluble in water.,174.19,1.047 g/mL at 25 °C (lit.),C8H14O4,,"['Clorius', 'Ethyl succinate', 'Diethyl succinate', 'diethyl butanedioate', 'anhydrous diethyl succinate', 'Succinic acid diethyl ester', 'diethylesterkyselinyjantarove', 'Butanedioic acid diethyl ester', 'Diethylester kyseliny jantarove', 'DIETHYL SUCCINATE FOR SYNTHESIS', 'Diethyl ester of butanedioic acid', 'Succinic Acid Diethyl EsterEthyl Succinate']",
791,Diethyl Toluamide,,,,,,,"['DIETHYL TOLUAMIDE', 'Toluamide, N,N-diethyl-', 'Toluic acid diethylamide', 'N,N-Diethylmethylbenzamide', 'Benzamide, N,N-diethylmethyl-', 'N,N-DIETHYL-M- TOLUAMIDE, DIETHYL TOLUAMIDE']",
792,Diethylamine,,soluble,73.14,0.707 g/mL at 25 °C (lit.),C4H11N,,"['detn', '(C2H5)2NH', 'ai3-24215', 'Diethamine', 'Diethylamin', 'Dietilamina', 'Diaethylamin', 'Diethylamide', 'Diethylamine', 'Dwuetyloamina', 'N-ethylethanamine', 'N-ethylethanaminium', 'N-ethylethanaminium bromide', 'N-ethylethanaminium chloride']",
793,Diethylaminoethyl Stearate,,,,,,,,
794,Diethylaminomethylcoumarin,,,,,,,,
795,Diethylene Glycol,,SOLUBLE,106.12,1.118g/mLat 25°C(lit.),C4H10O3,,"['DEG', 'NSC 36391', 'Brecolane NDG', 'Diethyleneglyc', 'Diethylene glyco', 'DIETHYLENE GLYCOL', 'Diethylene glycol', '3-Oxa-1,5-pentanediol', '3-Oxapentane-1,5-diol ', '2-(2-Hydroxyethoxy)ethanol', '2,2-Di(hydroxyethyl) ether', '2-(2-hydroxyethoxy)-ethanol', 'bis(beta-hydroxyethyl)ether', '2-(2-hydroxy-ethoxy)-ethanol', 'Bis(beta-hydroxyethyl) ether', '3-OxapentaMethylene-1,5-diol', 'Di-ethylene glycol,Ethylene diglycol', 'Diethylene glycol, Bis(2-hydroxyethyl) ether']",
796,Diethylene Glycol Dibenzoate,,38.3mg/L at 20°C,314.33,1.175g/mLat 25°C(lit.),C18H18O5,,"['DEGDB', 'Polyol benzoate', 'DIGLYCOL DIBENZOATE', 'oxydiethylene dibenzoate', 'diethylenebenzylbenzoate', 'OXY BIS(2-ETHYL BENZOATE)', '2,2-OXYBISETHANOLDIBENZOATE', 'DIETHYLENE GLYCOL DIBENZOATE', 'Diethylene glycol dibenzoate', 'di(ethylene glycol) dibenzoate', 'oxydiethane-2,1-diyl dibenzoate', 'Reaktionsprodukt aus Diethylenglykol mit Benzoesure']",
797,Diethylene Glycol Diisononanoate,,,,,,,"['DIETHYLENE GLYCOL DIISONONANOATE', '2-(2-hydroxyethoxy)ethanol,7-methyloctanoic acid']",
798,Diethylenetriamine Pentamethylene Phosphonic Acid,,,,,,,,
799,Diethylhexyl Adipate,,,,,,,,
800,Diethylhexyl Butamido Triazone,,5Î¼g/L at 20°C,765.98,1.152,C44H59N7O5,,"['HEB', 'INCI', 'Triazinone', 'Uvasorb HEB', 'Iscotrizinol', 'Unii-2utz0qc864', 'UNII-2UTZ0QC864', 'Iscotrizinol [USAN]', 'DIETHYLHEXYL BUTAMIDO TRIAZONE', 'Diethylhexyl butamido triazone', 'DIETHYLHEXYL BUTAMIDO TRIAZONE (INCI)', '4,6-Bis[4-(2-ethylhexyloxycarbonyl)anilino]-2-[4-(tert-butylaminocarbonyl)anilino]-1,3,5-triazine']",
801,Diethylhexyl Maleate,,,,,,,,
802,Diethylhexyl Sebacate,,,,,,,,
803,Diethylhexyl Sodium Sulfosuccinate,,1.5 g/100 mL (25 °C),444.56,1.1,C20H37O7S.Na,,"['AEROSOL OT', 'Penetrant T', 'AEROSOL OTB', 'AEROSOL(R) OT', 'AEROSOL(TM) OT', 'Docusate sodium', 'AEROSOL(R) OT-100', ' Dioctyl sodium sulfosuccinate', 'Dioctylsulfosuccinate sodium salt', 'DIETHYLHEXYL SODIUM SULFOSUCCINATE', 'Sodium diethylhexyl sulfosuccinate', 'Dioctyl sulfosuccinate, sodium salt', '1,4-bis(2-ethylhexyl)sodiumsulfosuccinate', ' Bis(2-ethylhexyl) sulfosuccinate sodium salt', 'Sulfosuccinic acid, dioctyl ester, sodium salt']",
804,Diethylhexyl Succinate,,,,,,,,
805,Diethylhexylamine,,,241.46,0.805g/mLat 25°C(lit.),C16H35N,,"['DIETHYLHEXYLAMINE', 'N-octyloctan-1-amine', 'Di-2-Ethylhexylamine', 'Bis-2-ethylhexylamin', 'di(2-ethvlhexvl)amine', 'Bis(2-ethylhexyl)amine', 'N,N-diethylhexan-1-amine', '2-ethyl-n-(2-ethylhexyl)-1-hexanamin', '2-ethyl-N-(2-ethylhexyl)-1-Hexanamine', '2-ethyl-N-(2-ethylhexyl)hexan-1-amine', '2-Ethyl-N-(2-ethylhexyl)hexan-1-amine', '1-Hexylamine, 2-ethyl-N-(2-ethylhexyl)-', '1-Hexanamine, 2-ethyl-N-(2-ethylhexyl)-']",
806,Diethylhexylcyclohexane,,,224.42528,,C16H32,,['DIETHYLHEXYLCYCLOHEXANE'],
807,Digalloyl Trioleate,,,1115.56,,C68H106O12,,"['DIGALLOYL TRIOLEATE', '3,4-dihydroxy-5-[3,4,5-tris[[(Z)-octadec-9-enoyl]oxy]benzoyl]oxybenzoic acid', 'Benzoic acid, 3,4-dihydroxy-5-[[3,4,5-tris[[(9Z)-1-oxo-9-octadecenyl]oxy]benzoyl]oxy]-']",
808,Diglycerin,,,92.09,1.2892,C3H8O3,,"['DIGLYCERIN', 'POLYGLYCEROL', 'polyglycerine', 'Polyglycerine', ' Polyglycerol', 'POLYGLYCERIN-3', 'Glycerol polymer', ' Glycerol polymer', 'propane-1,2,3-triol', 'Glycerol homopolymer', 'glycerol homopolymer', '1,2,3-Propanetriol homopolymer', ' 1,2,3-Propanetriol homopolymer']",
809,Diheptyl Sodium Sulfosuccinate,,,,,,,,
810,Dihexyl Adipate,,2.6mg/L at 20°C,314.46,0.9320,C18H34O4,,"['DHA', 'AI3-07963', 'BRN 1798668', 'Dihexyl adipate', 'dihexyl adipate', 'Di-n-hexyl adipate', 'ihexylhexanedioate', 'Dihexyl hexanedioate', 'Hexanedioic acid dih', 'Adipic acid, dihexyl ester', 'Plasticizer dihexyl adipate', 'Hexanedioic acid dihexyl ester', 'Hexanedioic acid, dihexyl ester', 'Hexanedioic acid,1,6-dihexyl ester', 'Hexanedioic acid, 1,6-dihexyl ester', 'Dihydroartemisinin (Î²-Dihydroartemisinin', '4-02-00-01963 (Beilstein Handbook Reference)']",
811,Dihexyl Sodium Sulfosuccinate,,,,,,,,
812,Dihexyldecyl Lauroyl Glutamate,,,,,,,,
813,Dihydroabietyl Behenate,,,,,,,,
814,Dihydrocholesterol,,,,,,,,
815,Dihydrocholesteryl Butyrate,,,,,,,,
816,Dihydrocholesteryl Octyldecanoate,,,,,,,,
817,Dihydrocholesteryl Oleate,,,,,,,,
818,Dihydrogenated Tallow Phthalic Acid Amide,,,670.112,,C44H79NO3,,"['dihydrogenated tallow phthalic acid', '2-(Dioctadecylcarbamoyl)benzoic acid', 'DIHYDROGENATED TALLOW PHTHALIC ACID AMIDE', 'Di(hydrogenated tallow) phthalic acid amide', 'N,N-Bis(hydrogenated tallow alkyl)-2-(aminocarbonyl)benzoic acid', 'Benzoic acid, 2-(aminocarbonyl)-, N,N-bis(hydrogenated tallow alkyl) derivs.']",
819,Dihydrojasmonate,,,,,,,,
820,Dihydrolanosterol,,,428.73,0.97Â±0.1 g/cm3(Predicted),C30H52O,,"['DHL', 'lanostenol', 'Dihydrolanosterol', 'Lanost-8(9)-en-3Î²-ol', '5Î±-Lanost-8-en-3Î²-ol', '24,25-Dihydrolanosterol', 'Lanost-8-en-3-ol, (3.beta.)-', 'Dihydrolanosterol, Technical Grade', '4,4,14-Trimethyl-5Î±-cholesta-8-ene-3Î²-ol']",
821,Dihydrophytosteryl Octyldecanoate,,,,,,,,
822,Dihydroxyacetone,,>250 g/L (20 °C),90.08,1.1385 (rough estimate),C3H6O3,,"['Dihyxal', 'Chromelin', 'Ketochromin', 'Dihydroxyacetone', 'Aliphatic ketone', '1,3-Dihydroxyacetone', '1,3-Dihydroxypropanone', 'PROPANE-1,3-DIOL-2-ONE', '1,3-dihydroxy-2-propanon', '1,3-Dihydroxy-2-propanone', '1,3-dihydroxypropan-2-one', '1,3-Dihydroxydimethyl ketone']",
823,Dihydroxyethyl Lauramine Oxide,,,289.45,,C16H35NO3,,"['DIHYDROXYETHYL LAURAMINE OXIDE', 'N,N-bis(2-hydroxyethyl)dodecan-1-amine oxide', 'N,N-di(hydroxyethyl)dodecylamine oxide', 'OAE-12']",
824,Dihydroxyethyl Oleyl Glycinate,,,,,,,,
825,Dihydroxyethyl Stearamine Oxide,,,373.61,,C22H47NO3,,"['DIHYDROXYETHYL STEARAMINE OXIDE', 'Stearyldi(hydroxyethyl)amine oxide', 'Bis(2-hydroxyethyl)stearylamine oxide', 'N,N-Bis(2-hydroxyethyl)stearylamine oxide', 'N,N-Bis(2-hydroxyethyl)stearylamine N-oxide', 'N,N-bis(2-hydroxyethyl)octadecan-1-amine oxide']",
826,Dihydroxyethyl Stearyl Glycinate,,,387.597,,C22H45NO4,,['DIHYDROXYETHYL STEARYL GLYCINATE'],
827,Dihydroxyethyl Tallowamine Oxide,,,,,,,"['DIHYDROXYETHYL TALLOWAMINE OXIDE', 'Tallow bis(hydroxy ethyl) amine oxide', 'BIS-(2-HYDROXYETHYL)-TALLOWAMINE OXIDE', 'N,N-Bis(2-hydroxyethyl)(tallow alkyl)amine oxide', 'Ethanol, 2,2â\x80²-Iminobis-, N-Talg-alkylderivate, N-Oxide']",
828,Dihydroxyethylamino Hydroxypropyl Oleate,,,,,,,,
829,Dihydroxyindole,,,,,,,,
830,Diiodomethyltolylsulfone,,,,,,,,
831,Diisobutyl Adipate,,42.7mg/L at 25°C,258.35,0.954 g/mL at 25 °C (lit.),C14H26O4,,"['DBE-IB', 'ftaflexdiba', 'Ftaflex diba', 'Isobutyl adipate', 'Diisobutyl adipate', 'Diisobutyl hexanedioate', 'Adipic acid diisobutyl ester', 'bis(2-methylpropyl) hexanedioate', 'Bis(2-methylpropyl) hexanedioate', 'adipicacidbis(2-methylpropyl)ester', 'Hexanedioic acid, diisobutyl ester', '2,2-bis(2-methylpropyl)hexanedioatato(2-)']",
832,Diisobutyl Oxalate,,,202.24752,,C10H18O4,,"['DIISOBUTYL OXALATE', 'di-sec-butyl oxalate', 'Oxalic acid di(isobutyl) ester', 'Oxalic acid di-sec-butyl ester', 'Oxalic acid bis(1-methylpropyl) ester']",
833,Diisobutyl Sodium Sulfosuccinate,,500g/L at 20°C,332.35,1.299[at 20°C],C12H21NaO7S,,"['SODIUMDIISOBUTYLSULPHOSUCCINATE', 'DIISOBUTYL SODIUM SULFOSUCCINATE', 'SODIUM DIISOBUTYL SULFOSUCCINATE', 'DIISOBUTYL SULFOSUCCINATE SODIUM SALT', 'Sodium diisobutyl sulfosuccinate solution', 'Natrium-1,2-diisobutoxycarbonylethansulfonat', 'SULPHOSUCCINICACID,DIISOBUTYLESTER,SODIUMSALT', 'Sulfosuccinic acid, diisobutyl ester, sodium salt']",
834,Diisocetyl Adipate,,,,,,,,
835,Diisodecyl Adipate,,100Î¼g/L at 25°C,426.67,"0,92 g/cm3",C26H50O4,,"['DIDA', 'Monoplex DDA', 'Kodaflex DIDA', 'Plasthall DIDA', 'isodecyladipate', 'Isodecyl adipate', 'diisodecyl adipate', 'ADIPIC ACID DIISODECYL ESTER', 'Adipic acid diisoethyl ester', 'Bis(8-methylnonyl) hexanedioate', 'bis(8-methylnonyl) hexanedioate', 'Hexanedioicacid,diisodecylester', 'Hexanedioic acid, diisodecyl ester', 'Hexanedioic acid, 1,6-diisodecyl ester', 'DIISODECYL ADIPATE (MIXTURE OF BRANCHED ISOMERS)']",
836,Diisononyl Adipate,,3.2Î¼g/L at 22°C,398.62,0.922[at 20°C],C24H46O4,,"['DINA', 'CCRIS 2004', 'Sansocizer DINA', 'diisononyl adipate', 'DIISONONYL ADIPATE', 'Diisononyl adipate', 'Diisononyl hexanedioate', 'Bis(7-methyloctyl) adipate', 'ADIPIC ACID DIISONONYL ESTER', 'Adipic acid, diisononyl ester', 'bis(7-methyloctyl) hexanedioate', 'Hexanedioicacid,diisononylester', 'Hexanedioic acid, diisononyl ester', 'Adipic acid bis(7-methyloctyl) ester', 'Hexanedioic acid, 1,6-diisononyl ester', 'Hexanedioic acid di(7-methyloctyl) ester', 'DIISONONYL ADIPATE (MIXTURE OF BRANCHED ISOMERS)']",
837,Diisopropyl Adipate,,,230.30068,0.982g/cm3,C12H22O4,,"['beta dia', 'AI3-06066', 'Prodipate', 'NSC 56587', 'Crodamol DA', 'BRN 1785346', 'Ceraphyl 230', 'Wickenol 116', 'Standamul DIPA', 'Tegester 504-D', 'Schercemol DIA', 'Isopropyl adipate', 'Diisopropyl adipat', 'Diisopropyl adipate', 'Diisopropyl adipat [IUPAC]', 'dipropan-2-yl hexanedioate', 'Adipic acid diisopropyl ester', 'Adipic acid, diisopropyl ester', 'Bis(1-methylethyl)hexanedioate', 'Hexanedioic acid, bis(1-methylethyl) ester', '4-02-00-01961 (Beilstein Handbook Reference)', 'Hexanedioic acid, 1,6-bis(1-methylethyl) ester']",
838,Diisopropyl Dimer Dilinoleate,,,645.058,0.91[at 20°C],2C21H38O2,,"['Dimer acid diisopropyl ester', 'DIISOPROPYL DIMER DILINOLEATE', 'Fatty acids, C18-unsatd., dimers, hydrogenated, di-iso-Pr esters', 'Fettsuren, C18-ungesttigt, dimerisiert, hydriert, Diisopropylester']",
839,Diisopropyl Oxalate,,,,,,,,
840,Diisopropyl Sebacate,,,286.41,0.953Â±0.06 g/cm3(Predicted),C16H30O4,,"['SCHERCEMOL DIS', 'Diisopropyl sebacate', 'diisopropyl sebacate', 'DIISOPROPYL SEBACATE', 'dipropan-2-yl decanedioate', 'Di isopropyl Sebacate (DIPS)', 'decanedioicaciddiisopropylester', 'SCHERCEMOL DIISOPROPYL SEBACATE', 'Decanedioicacid,bis(1-methylethyl)ester', 'Decanedioic acid, 1,10-bis(1-methylethyl) ester']",
841,Diisostearyl Adipate,,,,,,,,
842,Diisostearyl Dimer Dilinoleate,,,1065.86,,2C36H68O2,,"['DIISOSTEARYL DIMER DILINOLEATE', 'Fatty acids, C18-unsatd., dimers, hydrogenated, bis(16-methylheptadecyl) esters', 'Fettsuren, C18-ungesttigt, dimerisiert, hydriert, Bis(16-methyl-heptadecyl)ester']",
843,Diisostearyl Fumarate,,,,,,,['DIISOSTEARYL FUMARATE'],
844,Diisostearyl Glutarate,,,,,,,,
845,Diisostearyl Malate,,,,,,,,
